id_municipio,ano,rede,id_escola,laboratorio_informatica,laboratorio_ciencias,biblioteca,amarela,branca,indigena,nao_declarada,parda,preta,pp,total_alunos,perc_pp,grupo
3136702,2020,municipal,31227498,1,0,0,0,124,0,12,202,149,351,487,72.0739219712526,alto
3136702,2020,municipal,31227501,1,0,0,0,80,0,29,60,13,73,182,40.1098901098901,baixo
3136702,2020,municipal,31227510,1,0,0,0,58,0,14,138,96,234,306,76.4705882352941,alto
3136702,2020,municipal,31232726,0,0,0,3,48,1,32,29,25,54,138,39.1304347826087,baixo
3136702,2020,municipal,31232751,0,0,0,2,26,0,0,29,21,50,78,64.1025641025641,alto
3136702,2020,municipal,31232769,0,0,0,0,35,0,0,63,25,88,123,71.5447154471545,alto
3136702,2020,municipal,31232785,0,0,0,0,23,0,4,35,20,55,82,67.0731707317073,alto
3136702,2020,municipal,31232793,0,0,0,0,25,0,1,42,19,61,87,70.1149425287357,alto
3136702,2020,municipal,31232815,0,0,0,0,36,0,24,21,14,35,95,36.8421052631579,baixo
3136702,2020,municipal,31232823,0,0,0,0,27,0,2,52,21,73,102,71.5686274509804,alto
3136702,2020,municipal,31232831,0,0,0,1,27,0,4,45,20,65,97,67.0103092783505,alto
3136702,2020,municipal,31232866,0,0,0,3,28,0,1,51,38,89,121,73.5537190082645,alto
3136702,2020,municipal,31232939,0,0,0,0,22,0,0,44,27,71,93,76.3440860215054,alto
3136702,2020,municipal,31235253,1,0,0,0,118,0,202,159,52,211,531,39.7363465160075,baixo
3136702,2020,municipal,31235270,1,0,0,0,104,0,412,89,40,129,645,20,baixo
3136702,2020,municipal,31235288,1,0,0,0,71,0,14,116,93,209,294,71.0884353741497,alto
3136702,2020,municipal,31245364,1,0,0,0,216,0,10,227,234,461,687,67.1033478893741,alto
3136702,2020,municipal,31260134,1,0,0,0,150,0,29,205,106,311,490,63.469387755102,alto
3136702,2020,municipal,31266434,1,0,1,2,64,0,14,114,45,159,239,66.5271966527197,alto
3136702,2020,municipal,31275204,1,0,0,0,92,0,0,122,66,188,280,67.1428571428571,alto
3136702,2020,municipal,31290912,0,0,0,2,32,0,8,20,9,29,71,40.8450704225352,baixo
3136702,2020,municipal,31290921,0,0,1,0,16,0,2,50,29,79,97,81.4432989690722,alto
3136702,2020,federal,31294471,1,1,1,0,666,1,168,179,28,207,1042,19.8656429942418,baixo
3136702,2020,municipal,31295442,1,0,0,1,238,0,3,369,238,607,849,71.4958775029446,alto
3136702,2020,municipal,31296376,1,0,0,0,33,0,0,67,39,106,139,76.2589928057554,alto
3136702,2020,municipal,31296392,0,0,0,0,40,0,2,16,5,21,63,33.3333333333333,baixo
3136702,2020,municipal,31307556,1,1,1,0,219,0,111,206,49,255,585,43.5897435897436,baixo
3136702,2020,municipal,31307564,1,1,0,0,51,0,39,149,78,227,317,71.608832807571,alto
3136702,2020,estadual,31326810,0,0,1,0,8,0,103,23,9,32,143,22.3776223776224,baixo
3136702,2020,municipal,31335380,0,0,0,0,11,0,12,9,1,10,33,30.3030303030303,baixo
3136702,2020,municipal,31336106,0,0,0,0,28,0,2,45,23,68,98,69.3877551020408,alto
3136702,2020,estadual,31342637,1,1,1,0,270,0,47,400,180,580,897,64.659977703456,alto
3136702,2020,municipal,31345180,1,0,0,0,24,0,0,28,23,51,75,68,alto
3136702,2020,municipal,31352110,1,0,0,0,94,0,31,48,24,72,197,36.5482233502538,baixo
3136702,2020,municipal,31362387,0,1,0,1,50,0,3,156,75,231,285,81.0526315789474,alto
3136702,2020,municipal,31364029,0,0,1,2,25,0,0,56,39,95,122,77.8688524590164,alto
3136702,2020,municipal,31364452,0,0,1,0,21,0,0,29,36,65,86,75.5813953488372,alto
3136702,2020,municipal,31364495,0,0,0,1,26,0,0,36,48,84,111,75.6756756756757,alto
3136702,2020,municipal,31365831,0,0,0,0,9,0,0,16,29,45,54,83.3333333333333,alto
